PRODUTO,COR_PRODUTO,ID_CAMPANHA,STATUS_INTEGRACAO,DETALHE_INTEGRACAO
372752,55453,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372754,55454,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372755,55453,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372756,55453,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372831,59481,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372922,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372923,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372927,07742,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372928,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372931,07742,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372932,05052,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372936,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372938,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372981,59498,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372988,59534,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
372989,59534,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373022,59500,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373028,59504,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373053,59564,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373054,60045,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373056,59564,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373078,59567,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373079,59567,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373080,59567,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373081,59567,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373084,59504,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373085,59504,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373086,59504,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373087,59538,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373088,59538,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373090,59538,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373091,59538,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373092,59599,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373093,59599,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373094,59599,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373096,59599,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373098,59600,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373099,59600,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373108,59463,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373109,59463,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373110,59463,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373111,59463,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373113,59524,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373114,59524,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373116,59524,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373117,59524,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373142,59594,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
380117,2276,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373170,59481,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
380102,07742,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373184,05024,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373184,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373199,07742,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373202,05024,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373203,2276,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373206,0105,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373207,0105,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373218,2276,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373236,2276,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373279,02025,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373279,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373281,05052,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373281,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373285,59557,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373286,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373288,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373291,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373311,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373311,11069,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373312,07039,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373312,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373314,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373315,04097,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
380102,07448,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373404,0109,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373406,0109,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373407,0109,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373408,0109,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373409,0101,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373410,0101,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373420,0101,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373421,0101,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373423,0105,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373443,0109,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373445,0003,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373449,0101,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373450,0101,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
373451,0105,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
380045,59612,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
380002,61672,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
380001,61672,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
379948,59564,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
379921,59555,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
379918,59473,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
379893,59614,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
379884,59611,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
379439,59474,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
379435,59557,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
379371,59503,54,INTEGRADO_VALIDADO,Produto/cor ativo na campanha 54; carga Linx sem delta.
