PRODUTO,COR_PRODUTO,ID_CAMPANHA,DT_EXCLUSAO,motivo
374683      ,61697     ,54,,FORA_DA_PLANILHA
374817      ,59489     ,54,,FORA_DA_PLANILHA
374820      ,59461     ,54,,FORA_DA_PLANILHA
374835      ,59605     ,54,,FORA_DA_PLANILHA
374846      ,59463     ,54,,FORA_DA_PLANILHA
374865      ,59521     ,54,,FORA_DA_PLANILHA
374914      ,59525     ,54,,FORA_DA_PLANILHA
374921      ,59609     ,54,,FORA_DA_PLANILHA
374922      ,59609     ,54,,FORA_DA_PLANILHA
374923      ,59609     ,54,,FORA_DA_PLANILHA
374924      ,59609     ,54,,FORA_DA_PLANILHA
374957      ,59559     ,54,,FORA_DA_PLANILHA
374961      ,59552     ,54,,FORA_DA_PLANILHA
374962      ,59552     ,54,,FORA_DA_PLANILHA
374963      ,59552     ,54,,FORA_DA_PLANILHA
374964      ,59552     ,54,,FORA_DA_PLANILHA
374969      ,59483     ,54,,FORA_DA_PLANILHA
374970      ,59483     ,54,,FORA_DA_PLANILHA
374972      ,59483     ,54,,FORA_DA_PLANILHA
374973      ,59483     ,54,,FORA_DA_PLANILHA
374974      ,59483     ,54,,FORA_DA_PLANILHA
374976      ,59501     ,54,,FORA_DA_PLANILHA
374995      ,0003      ,54,,FORA_DA_PLANILHA
374996      ,59497     ,54,,FORA_DA_PLANILHA
375002      ,59572     ,54,,FORA_DA_PLANILHA
375003      ,59572     ,54,,FORA_DA_PLANILHA
375044      ,59670     ,54,,FORA_DA_PLANILHA
375045      ,59558     ,54,,FORA_DA_PLANILHA
375046      ,59558     ,54,,FORA_DA_PLANILHA
375047      ,59558     ,54,,FORA_DA_PLANILHA
375053      ,0109      ,54,,FORA_DA_PLANILHA
375057      ,59490     ,54,,FORA_DA_PLANILHA
375058      ,59490     ,54,,FORA_DA_PLANILHA
375075      ,0024      ,54,,FORA_DA_PLANILHA
375133      ,59486     ,54,,FORA_DA_PLANILHA
375216      ,0013      ,54,,FORA_DA_PLANILHA
375220      ,59506     ,54,,FORA_DA_PLANILHA
375221      ,07448     ,54,,FORA_DA_PLANILHA
375225      ,0013      ,54,,FORA_DA_PLANILHA
375231      ,59596     ,54,,FORA_DA_PLANILHA
375233      ,7122      ,54,,FORA_DA_PLANILHA
375254      ,1566      ,54,,FORA_DA_PLANILHA
