produto,cor,id_campanha,motivo
374955,59559,99,ERRO_INTEGRACAO
374956,59559,99,ERRO_INTEGRACAO
374959,59559,99,ERRO_INTEGRACAO
374960,59559,99,ERRO_INTEGRACAO
374965,59552,99,ERRO_INTEGRACAO
374975,59501,99,ERRO_INTEGRACAO
374977,59555,99,ERRO_INTEGRACAO
374978,59501,99,ERRO_INTEGRACAO
374979,59501,99,ERRO_INTEGRACAO
374995,0003,99,ERRO_INTEGRACAO
374997,59497,99,ERRO_INTEGRACAO
374999,55390,99,ERRO_INTEGRACAO
375000,55390,99,ERRO_INTEGRACAO
375001,55390,99,ERRO_INTEGRACAO
375006,59476,99,ERRO_INTEGRACAO
375008,59459,99,ERRO_INTEGRACAO
375010,59460,99,ERRO_INTEGRACAO
375012,59459,99,ERRO_INTEGRACAO
375048,59560,99,ERRO_INTEGRACAO
375049,59576,99,ERRO_INTEGRACAO
375050,59576,99,ERRO_INTEGRACAO
375052,59576,99,ERRO_INTEGRACAO
375053,0109,99,ERRO_INTEGRACAO
375075,0024,99,ERRO_INTEGRACAO
375213,59500,99,ERRO_INTEGRACAO
375214,07852,99,ERRO_INTEGRACAO
375217,07546,99,ERRO_INTEGRACAO
375224,59489,99,ERRO_INTEGRACAO
375227,07448,99,ERRO_INTEGRACAO
375233,7122,99,ERRO_INTEGRACAO
375237,05052,99,ERRO_INTEGRACAO
375242,07488,99,ERRO_INTEGRACAO
375244,07836,99,ERRO_INTEGRACAO
375247,07448,99,ERRO_INTEGRACAO
375248,07448,99,ERRO_INTEGRACAO
375253,07448,99,ERRO_INTEGRACAO
375254,1566,99,ERRO_INTEGRACAO
375257,07039,99,ERRO_INTEGRACAO
375260,07039,99,ERRO_INTEGRACAO
375273,07722,99,ERRO_INTEGRACAO
375275,07448,99,ERRO_INTEGRACAO
375276,8391,99,ERRO_INTEGRACAO
375277,59566,99,ERRO_INTEGRACAO
375278,11056,99,ERRO_INTEGRACAO
375279,07448,99,ERRO_INTEGRACAO
375284,07891,99,ERRO_INTEGRACAO
375287,07546,99,ERRO_INTEGRACAO
375290,07488,99,ERRO_INTEGRACAO
375291,07820,99,ERRO_INTEGRACAO
375305,07448,99,ERRO_INTEGRACAO
375354,0024,99,ERRO_INTEGRACAO
375364,07448,99,ERRO_INTEGRACAO
375379,59499,99,ERRO_INTEGRACAO
375389,11092,99,ERRO_INTEGRACAO
375396,03328,99,ERRO_INTEGRACAO
375399,0105,99,ERRO_INTEGRACAO
375404,0101,99,ERRO_INTEGRACAO
375470,0013,99,ERRO_INTEGRACAO
375470,07448,99,ERRO_INTEGRACAO
375524,0105,99,ERRO_INTEGRACAO
375536,60572,99,ERRO_INTEGRACAO
375541,60575,99,ERRO_INTEGRACAO
375544,60578,99,ERRO_INTEGRACAO
375553,07448,99,ERRO_INTEGRACAO
375568,0109,99,ERRO_INTEGRACAO
375676,60556,99,ERRO_INTEGRACAO
