ID_CAMPANHA,PRODUTO,COR_PRODUTO,status_pre,operacao,ESTOQUE,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,DT_EXCLUSAO,validacao_pos
54,372474      ,59536       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372475      ,59587       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372476      ,59587       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372477      ,59587       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372478      ,59587       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372479      ,59525       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372480      ,59497       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372481      ,59497       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372526      ,59555       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372527      ,59555       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372536      ,59592       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372537      ,59479       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372539      ,59479       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372540      ,59479       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372541      ,59479       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372557      ,59499       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372558      ,59499       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372666      ,59574       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372669      ,59474       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372697      ,59500       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372698      ,59500       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372699      ,59500       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372704      ,59594       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372706      ,59594       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372707      ,59594       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372714      ,59612       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372715      ,59612       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372716      ,59612       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372717      ,59612       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372718      ,59612       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372719      ,59612       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372752      ,55453       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372754      ,55454       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372755      ,55453       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372756      ,55453       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372831      ,59481       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372920      ,07448       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,15,7,0,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372922      ,07448       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372923      ,07448       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372927      ,07742       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372928      ,07448       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372931      ,07742       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372932      ,05052       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372936      ,07448       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,OK
54,372938      ,07448       ,PENDENTE_UPDATE,INTEGRADO_ATUALIZADO,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,OK
